Handle,Variant SKU,Title,Vendor,Product Type,Variant Price,Cost per item,Compare At Price,Variant Barcode,Weight,Weight Unit,Dimensions,Variant Inventory Qty,Stock Status,Published,Variant Taxable,Image Src,Body (HTML),Tags,Updated At,Supplier Ref
lantern-nw-1000,NW-1000,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060000007916,2.5,kg,12 x 8 x 4 in,14,In Stock,TRUE,yes,//cdn.example-supplier.test/img/nw-1000.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T00:30:00Z,NW/0000
dry-bag-nw-1003,NW-1003,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060000015836,500 g,,300mm x 200mm x 100mm,3,instock,yes,1,https://cdn.example-supplier.test/img/nw-1003.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T01:30:00Z,NW/0001
chisel-nw-1006,NW-1006,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060000023756,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,1,N,https://cdn.example-supplier.test/img/nw-1006.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T02:30:00Z,NW/0002
mixing-bowl-nw-1009,NW-1009,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060000031676,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,N,false,https://cdn.example-supplier.test/img/nw-1009.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T03:30:00Z,NW/0003
notebook-nw-1012,NW-1012,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060000039597,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1012.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T04:30:00Z,NW/0004
deck-brush-nw-1015,NW-1015,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060000047516,340,g,300mm x 200mm x 100mm,0,Discontinued,TRUE,yes,//cdn.example-supplier.test/img/nw-1015.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T05:30:00Z,NW/0005
rope-ladder-nw-1018,NW-1018,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060000055436,2.5,kg,30 × 20 × 10 cm,14,In Stock,yes,1,https://cdn.example-supplier.test/img/nw-1018.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T06:30:00Z,NW/0006
tote-nw-1021,NW-1021,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060000063356,500 g,,1.2 x 0.4 x 0.4 m,3,instock,1,N,https://cdn.example-supplier.test/img/nw-1021.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T07:30:00Z,NW/0007
hand-plane-nw-1024,NW-1024,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060000071276,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,N,false,https://cdn.example-supplier.test/img/nw-1024.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T08:30:00Z,NW/0008
tea-caddy-nw-1027,NW-1027,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060000079197,12 oz,,300mm x 200mm x 100mm,0,Back-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1027.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T00:30:00Z,NW/0009
ledger-nw-1030,NW-1030,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060000087109,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1030.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T01:30:00Z,NW/0010
